name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,17,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,14-11-2025,34
Needz,62movqzaRnQKnZgdH0NNnZ,13,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,14-11-2025,254
Waitos,5BgjOneuxwsgQMkd7IXIoQ,12,7vKaefuMr8dE2yumEL8VBc,Palala,2024-01-07,14-11-2025,677
Brownelims,48xR5PmeVxExj2n9zXmmdq,10,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,14-11-2025,269
Cirfa,5BqFmc928SbBIdIBeKBV0c,9,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,14-11-2025,210
Todd,39dsykDOsgbhSWe39v4XC9,7,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,14-11-2025,597
Trupii,0ccS8XOQi0R8dPA8Jk02m8,6,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,14-11-2025,56
Cirfa,5BqFmc928SbBIdIBeKBV0c,6,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,14-11-2025,210
ABK,239uuSvoJuZuY7rxloaFWu,5,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,14-11-2025,175
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,14-11-2025,73
Khali,0rqQfmTWtmxzlrNmnruQXS,3,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,14-11-2025,352
Ayvee,0abpwgWh43SsFPq3uVRAae,3,2RjeaLCkaAfxfKZFoLJRB5,Body Language,2025-10-10,14-11-2025,35
Brownelims,48xR5PmeVxExj2n9zXmmdq,3,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,14-11-2025,70
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,14-11-2025,182
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,14-11-2025,253
Broco,39O7q1BFl6vlpPxWHkAQ3E,2,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,14-11-2025,154
seymoX,5DMxoLtkZeXlWMNaJJITPq,2,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,14-11-2025,26
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,2,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,14-11-2025,28
8ruki,0ATaMBIaHwtM6LZpQam5r2,2,6qOG3K8WnsiglhcUhZAxdw,emic flow,2025-10-29,14-11-2025,16
ABK,239uuSvoJuZuY7rxloaFWu,2,3MzcKopLjRKUKpoh3d00Po,AÏE AÏE AÏE,2025-04-25,14-11-2025,203
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,2,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,14-11-2025,28
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,14-11-2025,147
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6oqYMjiKDn2Fyup9dku7EC,Tombeau=GLP,2025-04-18,14-11-2025,210
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,14-11-2025,65
Bricksy & 3g,43y4CGNp5oOXqIn2FToObQ,1,6oQnTsQ0SuUpoz1l2zW36b,Akai,2024-02-22,14-11-2025,631
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,7ln0FIA1VKUootfcHf8gfX,CABREL,2025-06-27,14-11-2025,140
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,14-11-2025,133
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,14-11-2025,224
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,14-11-2025,224
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,14-11-2025,238
Le Crime,00edlcHg3ILdHtrYL54bxX,1,3zs1RJzrhgt0JsNsPopubX,Ballon D'or,2025-10-24,14-11-2025,21
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,4w7bTdhdeHyeyZ529CkUX3,LA LISTE,2025-10-17,14-11-2025,28
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,14-11-2025,175
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,14-11-2025,15
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6pmfynYBVeCrU70iJRwBrS,LA BRISE,2025-10-17,14-11-2025,28
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,14-11-2025,458
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3SxfnStF2pX0c6JVlWhozh,L'ARRET DE PLUS,2025-10-17,14-11-2025,28
8ruki,0ATaMBIaHwtM6LZpQam5r2,1,1iaH8oHZfFGt8Nz4scYFao,ferme la,2025-10-15,14-11-2025,30
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,14-11-2025,140
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,14-11-2025,28
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,14-11-2025,91
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,5rlP22szwzZphfH9C2sIea,NEON SPOTLIGHT,2024-01-05,14-11-2025,679
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,14-11-2025,28
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3LlZMuLHObXMahDIsnOZIt,POSE TOI ET ECOUTE,2025-10-17,14-11-2025,28
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,14-11-2025,105
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,14-11-2025,21
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,14-11-2025,469
Kimé,5nSGxqZnLN1PCZvURQgddS,1,1RvSRtjiyAe0iOnmNcADRi,ballon noir,2025-07-18,14-11-2025,119
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,14-11-2025,139
