name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days,classement
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,16,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,20-11-2025,40,1
Splinter,4aGtf6rai1D5I1Uka9ffAD,13,7iJZIX43TsiLqUzdtdVCwn,10 OU 2,2025-11-03,20-11-2025,17,2
Needz,62movqzaRnQKnZgdH0NNnZ,12,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,20-11-2025,260,3
Waitos,5BgjOneuxwsgQMkd7IXIoQ,11,7vKaefuMr8dE2yumEL8VBc,Palala,2024-01-07,20-11-2025,683,4
WRS,1o6zsbM4l2PgWk829Z6dNr,10,3J1APdZj3CoSaJO7V4zroQ,CANADA,2025-08-11,20-11-2025,101,5
Cirfa,5BqFmc928SbBIdIBeKBV0c,10,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,20-11-2025,216,6
Brownelims,48xR5PmeVxExj2n9zXmmdq,9,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,20-11-2025,275,8
Todd,39dsykDOsgbhSWe39v4XC9,8,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,20-11-2025,603,9
Splinter,4aGtf6rai1D5I1Uka9ffAD,8,1EA30WUkGmJdvUAuJSUtT2,MOOVE IT,2025-09-18,20-11-2025,63,10
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,7,4mXUx8CyHm6Pl4fkeuw9I2,Dans le ciel,2025-06-27,20-11-2025,146,11
Needz,62movqzaRnQKnZgdH0NNnZ,7,0FHGia7799B9ch6DFfmed1,KWAY,2025-11-14,20-11-2025,6,12
WRS,1o6zsbM4l2PgWk829Z6dNr,7,69qk0mF3ywaFYxiKGG3mgp,BREAKING BAD,2025-07-12,20-11-2025,131,13
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,6,2mTq15LTB0pJXbSc4YdPe8,Tombent,2025-06-27,20-11-2025,146,14
Trupii,0ccS8XOQi0R8dPA8Jk02m8,6,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,20-11-2025,62,15
Cirfa,5BqFmc928SbBIdIBeKBV0c,6,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,20-11-2025,216,16
Lesfer,016mSAI1kUz8EkIu85jMBB,6,3JzAbVFXbZIeMPLLp7lmFC,ZIKS À 2,2024-04-05,20-11-2025,594,17
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,20-11-2025,79,18
ABK,239uuSvoJuZuY7rxloaFWu,4,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,20-11-2025,181,19
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,20-11-2025,259,20
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,3,4ibTtS4UaUeL1SZfkKp3kJ,Dark,2024-02-12,20-11-2025,647,21
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,20-11-2025,188,22
Khali,0rqQfmTWtmxzlrNmnruQXS,2,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,20-11-2025,358,23
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,2,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,20-11-2025,34,24
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,2,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,20-11-2025,71,25
Brownelims,48xR5PmeVxExj2n9zXmmdq,2,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,20-11-2025,76,26
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,0g6pLXMxcSHytKNuF5jekR,J'm'attache pas,2024-10-31,20-11-2025,385,27
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,3zudZJKkir8cRYI7JFW5jl,ABIMÉ,2025-06-20,20-11-2025,153,28
seymoX,5DMxoLtkZeXlWMNaJJITPq,2,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,20-11-2025,32,29
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,2k5G8QBQ6bwu8ubJQV7MP1,COCO,2025-07-04,20-11-2025,139,30
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,2,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,20-11-2025,34,31
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,2,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,20-11-2025,244,32
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,20-11-2025,230,33
Jemon,2fVZdHfuPk2mxWGS5TELdm,1,5jiAMHyzFpClKz7Hx8EqS0,regard noir.,2024-04-21,20-11-2025,578,34
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,1,2EZtAndt81VNwcaks1IX3l,La haine,2024-07-26,20-11-2025,482,35
aupinard,33U9I7yBy34UXqKYObItne,1,343E9xkRhh4PWVjtv55HwU,penelope,2025-01-31,20-11-2025,293,36
Eidoss,3qsWjdTzlpzayZRzd7xJJP,1,2nyjM1g4sR4u5a6HaqG19H,Yoru,2025-10-03,20-11-2025,48,37
ines,3n3sIvX76ONpkFH3XBJ4Tx,1,13bVOgAFSaTv22tL3EyfSs,Dreamed Us,2024-12-13,20-11-2025,342,38
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,1,7bbPLNdRnrNuKd9GTbFCbM,REAL G,2025-09-24,20-11-2025,57,39
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,20-11-2025,230,40
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,20-11-2025,181,41
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,20-11-2025,139,42
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,20-11-2025,153,43
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,20-11-2025,34,44
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,4w7bTdhdeHyeyZ529CkUX3,LA LISTE,2025-10-17,20-11-2025,34,45
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3SxfnStF2pX0c6JVlWhozh,L'ARRET DE PLUS,2025-10-17,20-11-2025,34,46
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6pmfynYBVeCrU70iJRwBrS,LA BRISE,2025-10-17,20-11-2025,34,47
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,5rlP22szwzZphfH9C2sIea,NEON SPOTLIGHT,2024-01-05,20-11-2025,685,48
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,20-11-2025,160,49
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,20-11-2025,464,50
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,0w4PLTB1Z4gFsiRnTSVpze,SHAUN WHITE,2025-06-06,20-11-2025,167,51
