name_artist,id_artist,popularity_artist,image_artist,name_track,id_track,popularity_track,release_date,score,running_date,difference_days,ville,classement
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,19,https://i.scdn.co/image/ab6761610000e5ebfaa0c2ee31d23fbc01b0ff55,SCHÉMA,0VdoEoRuChgq09JxF12xvL,35,2025-10-11,17.0,26-11-2025,46,Bordeaux,1
Splinter,4aGtf6rai1D5I1Uka9ffAD,11,https://i.scdn.co/image/ab6761610000e5eb6ec57164fefb688f33c5f691,10 OU 2,7iJZIX43TsiLqUzdtdVCwn,24,2025-11-03,14.0,26-11-2025,23,Bordeaux,2
Edoukou,1h9LMhahP0CiE9EkxMcyQG,12,https://i.scdn.co/image/ab6761610000e5eba2a045b33ad1c8e68caa9059,Pas d'love,3NDuo9uQq1GwMpdg2tWkrz,25,2025-10-26,14.0,26-11-2025,31,Bordeaux,3
Needz,62movqzaRnQKnZgdH0NNnZ,7,https://i.scdn.co/image/ab6761610000e5eb30f4a77ad707c7a7f2da3468,BLMN,1Wcv5t9NooxF1TQDghHvKN,18,2025-03-05,11.0,26-11-2025,266,Bordeaux,4
Kuroy Lenid,6oIhSWrI8fc3pUXy2XHjpq,7,https://i.scdn.co/image/ab6761610000e5eb8185217eeaea96071223ecb6,FUBU,4P04N7YmvBFbrAMOoirzYJ,17,2025-11-14,11.0,26-11-2025,12,Bordeaux,5
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,25,https://i.scdn.co/image/ab6761610000e5eb61969954f8f69f8c881b4b1c,Sous Drogues Je Suis,4DL1BlOHHgVigKuftWih3n,25,2025-10-24,11.0,26-11-2025,33,Bordeaux,6
BOLLY bab's,44LYz3iuH0wHEGVqQhytJc,2,https://i.scdn.co/image/ab6761610000e5eb97f8e19d2f9244cfeb04c0d3,PILOLO,1Co6wAwjTRONIrg5DQHCVu,12,2025-05-17,10.0,26-11-2025,193,Bordeaux,7
Brownelims,48xR5PmeVxExj2n9zXmmdq,5,https://i.scdn.co/image/ab6761610000e5eb4877adba0b4fa0329902f095,Hennessy,2sZSDeXvW5VbN5q4iPmWet,15,2025-02-18,10.0,26-11-2025,281,Bordeaux,8
Wiguy,07wvsGPgwBytTdkcWiqG3s,4,https://i.scdn.co/image/ab6761610000e5eb92bcad57891351ab44b67ed5,TENTIONS,08P0gF0OXxmTADQGsVLaLa,14,2025-08-24,10.0,26-11-2025,94,Bordeaux,9
Cirfa,5BqFmc928SbBIdIBeKBV0c,7,https://i.scdn.co/image/ab6761610000e5eb9555b4669fe7be9703c34df4,3 LETTRES 3 CHIFFRES,58p3dctcDivuUDjMcivPwD,16,2025-04-18,9.0,26-11-2025,222,Bordeaux,10
Naïloss,256NYYph425UhMKkVXvWzW,6,https://i.scdn.co/image/ab6761610000e5eba832a9ab8016c83ffed905ad,Met Gala,0WEwBjTatXht6rD0lZ3mwp,15,2025-10-03,9.0,26-11-2025,54,Bordeaux,11
WRS,1o6zsbM4l2PgWk829Z6dNr,23,https://i.scdn.co/image/ab6761610000e5ebe00e28b8235633cb6d058492,CANADA,3J1APdZj3CoSaJO7V4zroQ,32,2025-08-11,9.0,26-11-2025,107,Bordeaux,12
ZERG,3uyvP6YXmQnQLD8MqHqMr4,4,https://i.scdn.co/image/ab6761610000e5eb2a2e2b8f2e3e81468e17220a,ALL DAYS,2DIrCPHX92TvMu090oreTu,13,2025-09-18,9.0,26-11-2025,69,Bordeaux,13
Landrydxtr,7eSRXkMELOGwrUp2TbLmdj,14,https://i.scdn.co/image/ab6761610000e5eb1a04a823b5e3260f976ce025,DORA BORA,5lwjpeOO90qvLePGz78TKB,2,2025-09-26,8.5,26-11-2025,61,Bordeaux,14
Ricky Bishop,1BgUbirVqg7MnHDThNqOil,32,https://i.scdn.co/image/ab6761610000e5eb137515a49bf26c8421a147ad,Anlè Mwen,2QR8NqikKhIozDg0znV3Mu,29,2025-05-25,8.0,26-11-2025,185,Bordeaux,15
Insa,73hHs7KXOQOsCOR5zgoK7D,7,https://i.scdn.co/image/ab67616d0000b2734a73f796c414616534d82778,Mec 2 LMT,5A68XHYbjdy7QHfUp6h6eC,22,2024-01-14,8.0,26-11-2025,682,Bordeaux,16
Maydo,1JGcG0hGyvwIobPI8kvEAr,8,https://i.scdn.co/image/ab6761610000e5eb5f51a7a2b94c407c9c61643c,Nuit noire,4TP1VGgZZNK6lyY205npWg,16,2025-05-30,8.0,26-11-2025,180,Bordeaux,17
IGOR,4k9plDbRTvmEIQWcSGyWbI,23,https://i.scdn.co/image/ab6761610000e5eba85b0bc3dfcef258c46121aa,COMME UN RAPPEUR,6L90KpJKI34bV9mw6tNj99,21,2025-06-04,8.0,26-11-2025,175,Bordeaux,18
armoz,0IuxE1bU5CcbL1Ml1DVPax,2,https://i.scdn.co/image/ab6761610000e5eb6c43e97f65fd02e9c7b1fd23,Elle s'en va,21Ufq0HoBnyx7fDNHcRHvj,10,2025-09-19,8.0,26-11-2025,68,Bordeaux,19
Twizzy cinco,2dyHRxF3lofQnkPB86jOni,8,https://i.scdn.co/image/ab6761610000e5eb76f9509935c5fac9a0dc7623,Abaisse-toi,6y8UN2Yo34wjueiPLlSQ4T,11,2025-08-20,7.0,26-11-2025,98,Bordeaux,20
RAPH.,0nZDK2ZKWcpbhXpWcgqykA,4,https://i.scdn.co/image/ab6761610000e5ebc96ad2642099e3856c3c7439,À l'aide,1S98DhjSH2BFzoVPi4XXW3,11,2025-09-04,7.0,26-11-2025,83,Bordeaux,21
PlasmaSeiya,1RUiRu90TwjiYvtaqZSnEp,3,https://i.scdn.co/image/ab6761610000e5eb78f3f0d8984be94c8721adb9,PARFUM,4CLO5qjtQ8YrIGr09ZeIRK,13,2024-09-11,7.0,26-11-2025,441,Bordeaux,22
LS7,1ZwrXD6ajoGy6gXUtKbVDS,12,https://i.scdn.co/image/ab6761610000e5eb3d87a0ec63222c9d5531ec7f,7,5D0BxSFvEtzqYeX6OZhrWs,19,2025-09-19,7.0,26-11-2025,68,Bordeaux,23
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,15,https://i.scdn.co/image/ab6761610000e5eb7935f497919f51b00d85e8c4,Dans le ciel,4mXUx8CyHm6Pl4fkeuw9I2,22,2025-06-27,7.0,26-11-2025,152,Bordeaux,24
11LVN,4ADSBvO5uxUSUkXPWjTGCS,9,https://i.scdn.co/image/ab6761610000e5ebea42696403abcc738f3b6917,VERTUMN,6wWGhAHsF5Zjq4UYnMCj9v,15,2025-02-07,6.0,26-11-2025,292,Bordeaux,25
Yuri Online,6X87X3dp4pzPM6B3ZmkA3v,27,https://i.scdn.co/image/ab67616d0000b2733dbd56080c347e7b6374266f,"CASCA, DIT LEURS : AQOAVOUSJOUEZLA? Feat : MINGO, SKOOLIO, APRIL21, 00RCA, CHENPOL",23cehee3W2Em6J1ASDp8WD,17,2025-08-19,6.0,26-11-2025,99,Bordeaux,26
Shun J,4VKnbS1Xvdaja3miTXaCmF,8,https://i.scdn.co/image/ab6761610000e5ebb46e6090d5ffc4c0ec15e205,POGO EN SLOW MOTION,2MGaMUCziTmVyJTfPO2Qpp,7,2025-04-25,6.0,26-11-2025,215,Bordeaux,27
Waitos,5BgjOneuxwsgQMkd7IXIoQ,3,https://i.scdn.co/image/ab6761610000e5eb6ec479a106e9d2d37c248bf7,Palala,7vKaefuMr8dE2yumEL8VBc,14,2024-01-07,6.0,26-11-2025,689,Bordeaux,28
aupinard,33U9I7yBy34UXqKYObItne,51,https://i.scdn.co/image/ab6761610000e5ebb8933f3e40500c937b43b4e5,penelope,343E9xkRhh4PWVjtv55HwU,52,2025-01-31,6.0,26-11-2025,299,Bordeaux,29
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,10,https://i.scdn.co/image/ab6761610000e5eb480b040a22f7e7c060506734,ROSE GOLD,3BCoWW2fqOBChNS8MgDtt5,15,2025-03-26,5.0,26-11-2025,245,Bordeaux,30
ABK,239uuSvoJuZuY7rxloaFWu,1,https://i.scdn.co/image/ab6761610000e5eb732fa67195563bdd2ccd6539,Temps,3wCDEvyno2jSLh6l1WB9pU,6,2025-05-23,5.0,26-11-2025,187,Bordeaux,31
Trupii,0ccS8XOQi0R8dPA8Jk02m8,2,https://i.scdn.co/image/ab6761610000e5ebd7aa7d62ede1d7f5f95e891f,Sur les murs,6CnNOzfO2U0TtNkrqpTEXJ,7,2025-09-19,5.0,26-11-2025,68,Bordeaux,32
